         786300 function calls (779308 primitive calls) in 0.625 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.001    0.001    0.626    0.626 youtube2.py:2(<module>)
        5    0.000    0.000    0.616    0.123 __init__.py:3(<module>)
        1    0.001    0.001    0.474    0.474 _monkeypatches.py:1(<module>)
        1    0.000    0.000    0.450    0.450 __init__.py:9(<module>)
        1    0.000    0.000    0.429    0.429 __init__.py:11(_checkRequirements)
        2    0.001    0.000    0.423    0.211 __init__.py:2(<module>)
        1    0.003    0.003    0.422    0.422 __init__.py:16(<module>)
        2    0.000    0.000    0.332    0.166 __init__.py:3019(_call_aside)
        1    0.000    0.000    0.332    0.332 __init__.py:3036(_initialize_master_working_set)
       26    0.001    0.000    0.293    0.011 __init__.py:682(add_entry)
      680    0.006    0.000    0.283    0.000 __init__.py:2003(find_on_path)
       22    0.000    0.000    0.174    0.008 __init__.py:1977(_by_version_descending)
       31    0.015    0.000    0.174    0.006 {sorted}
        1    0.000    0.000    0.150    0.150 __init__.py:640(_build_master)
        1    0.000    0.000    0.150    0.150 __init__.py:627(__init__)
        8    0.001    0.000    0.134    0.017 __init__.py:5(<module>)
        6    0.002    0.000    0.122    0.020 __init__.py:6(<module>)
     2834    0.011    0.000    0.111    0.000 __init__.py:1992(_by_version)
     1067    0.004    0.000    0.105    0.000 re.py:230(_compile)
      288    0.001    0.000    0.103    0.000 re.py:192(compile)
      202    0.001    0.000    0.101    0.000 sre_compile.py:567(compile)
     6642    0.011    0.000    0.094    0.000 version.py:24(parse)
      660    0.004    0.000    0.089    0.000 __init__.py:2435(from_location)
        1    0.001    0.001    0.084    0.084 form.py:6(<module>)
  203/202    0.001    0.000    0.061    0.000 sre_parse.py:706(parse)
        1    0.001    0.001    0.060    0.060 response.py:4(<module>)
  726/203    0.003    0.000    0.059    0.000 sre_parse.py:317(_parse_sub)
     7742    0.024    0.000    0.059    0.000 version.py:198(__init__)
 1035/218    0.021    0.000    0.058    0.000 sre_parse.py:395(_parse)
        1    0.001    0.001    0.056    0.056 http.py:26(<module>)
     5976    0.005    0.000    0.053    0.000 version.py:74(__init__)
      444    0.001    0.000    0.052    0.000 __init__.py:2777(_reload_version)
      444    0.001    0.000    0.050    0.000 __init__.py:2407(_version_from_file)
     5976    0.018    0.000    0.048    0.000 version.py:131(_legacy_cmpkey)
        1    0.000    0.000    0.042    0.042 reactor.py:32(<module>)
        1    0.001    0.001    0.042    0.042 requirements.py:4(<module>)
        1    0.000    0.000    0.042    0.042 default.py:10(<module>)
        1    0.000    0.000    0.042    0.042 default.py:19(_getInstallFunction)
        1    0.000    0.000    0.042    0.042 epollreactor.py:12(<module>)
        1    0.001    0.001    0.041    0.041 posixbase.py:7(<module>)
      330    0.000    0.000    0.039    0.000 __init__.py:3063(<genexpr>)
     1100    0.003    0.000    0.038    0.000 __init__.py:1381(safe_version)
      202    0.000    0.000    0.038    0.000 sre_compile.py:552(_code)
      329    0.001    0.000    0.038    0.000 __init__.py:2585(activate)
        6    0.000    0.000    0.037    0.006 deprecate.py:15(create_deprecated_class)
        6    0.000    0.000    0.036    0.006 inspect.py:1058(stack)
        6    0.000    0.000    0.036    0.006 inspect.py:1031(getouterframes)
       80    0.000    0.000    0.036    0.000 inspect.py:993(getframeinfo)
     2112    0.003    0.000    0.035    0.000 __init__.py:2580(_get_metadata)
    39280    0.020    0.000    0.034    0.000 version.py:65(_compare)
       80    0.001    0.000    0.034    0.000 inspect.py:518(findsource)
      444    0.001    0.000    0.032    0.000 {next}
      906    0.001    0.000    0.032    0.000 posixpath.py:372(realpath)
      572    0.001    0.000    0.029    0.000 __init__.py:2076(_handle_ns)
 1988/202    0.012    0.000    0.029    0.000 sre_compile.py:64(_compile)
       86    0.004    0.000    0.029    0.000 inspect.py:472(getmodule)
      660    0.003    0.000    0.029    0.000 __init__.py:2423(__init__)
      329    0.001    0.000    0.029    0.000 __init__.py:2168(fixup_namespace_packages)
        1    0.000    0.000    0.027    0.027 tcp.py:9(<module>)
    20730    0.016    0.000    0.025    0.000 version.py:114(_parse_version_parts)
        1    0.000    0.000    0.025    0.025 _newtls.py:11(<module>)
      569    0.002    0.000    0.025    0.000 pkgutil.py:176(find_module)
        1    0.001    0.001    0.025    0.025 tls.py:37(<module>)
  907/906    0.006    0.000    0.025    0.000 posixpath.py:380(_joinrealpath)
    20268    0.007    0.000    0.024    0.000 version.py:53(__eq__)
    19012    0.007    0.000    0.023    0.000 version.py:47(__lt__)
        1    0.001    0.001    0.023    0.023 pyparsing.py:61(<module>)
    18578    0.006    0.000    0.021    0.000 sre_parse.py:212(get)
        1    0.001    0.001    0.021    0.021 compat.py:22(<module>)
       27    0.000    0.000    0.020    0.001 pyparsing.py:2757(__init__)
        1    0.000    0.000    0.019    0.019 styles.py:7(<module>)
        1    0.001    0.001    0.018    0.018 log.py:7(<module>)
      343    0.001    0.000    0.017    0.000 interface.py:204(__setBases)
    20741    0.014    0.000    0.017    0.000 sre_parse.py:193(__next)
       67    0.000    0.000    0.017    0.000 declarations.py:243(classImplements)
        1    0.001    0.001    0.016    0.016 __init__.py:43(<module>)
        1    0.001    0.001    0.014    0.014 cmdline.py:1(<module>)
       56    0.000    0.000    0.014    0.000 declarations.py:312(__call__)
      276    0.002    0.000    0.014    0.000 interface.py:187(__init__)
